neighbourhood,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
22,0,1,1,265,50
21,0,2,1,0,90
43,1,2,327,271,248
1,1,2,1,235,139
57,0,1,7,365,80
19,0,3,1,25,71
12,0,2,2,365,75
14,1,5,1,32,127
6,1,2,1,3,450
28,2,3,2,142,150
5,1,5,1,0,110
4,1,1,5,40,180
6,1,4,1,249,175
20,0,3,1,15,59
13,1,3,1,22,380
13,1,3,1,0,350
19,1,30,1,0,475
11,1,7,1,222,288
87,0,1,1,123,80
12,1,3,1,0,100
20,0,1,1,0,100
30,0,30,1,249,65
19,1,2,1,0,195
8,1,29,1,95,88
15,0,1,1,0,75
21,0,3,2,0,50
45,0,2,1,0,60
61,1,1,2,158,125
15,0,2,1,0,300
27,1,2,1,169,620
0,0,3,1,0,70
28,1,3,1,17,242
14,0,3,2,0,165
56,0,1,5,119,65
7,1,3,1,199,599
56,1,1,1,0,150
44,0,14,1,342,40
12,0,2,3,342,95
64,1,1,1,0,387
45,1,14,1,79,120
9,1,2,2,365,375
14,1,1,1,261,600
15,1,2,1,0,190
6,0,30,2,253,50
28,0,1,1,0,275
23,0,4,1,0,95
14,1,1,1,0,180
5,1,1,1,0,189
28,1,5,1,77,220
23,1,2,1,245,341
6,0,4,1,0,55
7,1,2,1,0,235
20,1,2,1,0,75
19,0,1,5,30,99
14,1,3,1,1,120
6,1,3,1,63,110
1,1,1,1,270,800
2,1,1,1,0,150
21,2,30,6,365,40
6,0,1,1,77,93
214,1,2,1,322,85
14,1,2,1,221,299
19,0,7,1,359,95
152,0,1,7,177,65
8,0,1,1,8,85
19,0,59,1,333,70
56,1,1,1,0,125
44,1,7,1,0,130
15,1,30,1,0,64
8,0,2,1,0,85
28,0,1,1,0,80
46,0,3,1,365,99
11,1,10,1,79,186
20,0,1,1,0,80
46,1,2,1,117,130
7,2,3,1,0,30
6,0,5,1,199,45
6,0,1,4,352,40
11,0,1,5,329,999
56,1,14,1,0,90
53,1,3,1,233,255
1,1,2,13,279,240
21,0,2,1,0,50
19,1,1,1,0,190
1,1,7,1,0,350
29,0,4,2,339,125
8,0,7,1,362,120
12,0,4,1,0,50
13,0,2,1,0,70
19,1,30,1,314,139
68,1,2,1,65,350
6,1,4,1,0,75
6,0,2,1,336,85
75,1,3,1,21,89
43,1,29,96,220,220
12,1,6,1,4,149
12,1,2,1,183,250
28,1,181,1,189,80
23,0,30,1,52,59
8,0,1,1,363,85
21,0,1,1,1,30
30,0,2,1,276,40
9,0,1,1,0,65
73,0,2,1,89,40
37,1,30,15,214,95
8,1,2,2,38,250
14,1,3,1,0,275
16,1,2,1,101,305
5,1,30,50,365,150
21,0,3,1,83,80
7,1,2,1,6,215
8,0,5,1,0,89
